video_id,loss,mse,mos,pred_score,rmse
dvgo_chair_C-F_51k_102k,1.0026063,1.0284619,4.4889,0.067142,1.0141311
dvgo_chair_F_2048k,4.0753846,16.62052,8.211799999999998,0.021954646,4.076827
dvgo_fortress_voxels_128,2.0585136,4.2515607,5.2875000000000005,0.08502644,2.0619314
dvgo_fortress_voxels_64,0.8562753,0.7755558,2.4517,0.19856882,0.8806565
dvgo_horns_voxels_128,2.7311525,7.4861937,6.4048,0.054119796,2.736091
dvgo_horns_voxels_64,1.1194272,1.286534,3.5349,0.14157054,1.1342548
dvgo_hotdog_C-F_51k_102k,1.3310208,1.853645,4.818199999999999,0.06708047,1.3614863
dvgo_hotdog_F_2048k,3.8892798,15.191245,7.923100000000001,0.029085618,3.8975947
dvgo_materials_C-F_51k_102k,0.44057664,0.2991737,2.2821,0.12940945,0.54696774
dvgo_materials_F_2048k,1.4476901,2.1702526,5.095300000000001,0.05592956,1.4731777
dvgo_mic_C-F_51k_102k,0.25895435,0.09641129,3.0138,0.090915106,0.31050166
dvgo_mic_F_2048k,2.6983776,7.307804,6.6646,0.033784088,2.703295
dvgo_room_voxels_128,1.7067512,2.9670417,5.0625,0.07621566,1.7225103
dvgo_room_voxels_64,0.5910153,0.4192547,2.72,0.16148318,0.6474988
dvgo_trex_voxels_128,1.7556707,3.1020863,5.2875000000000005,0.06397702,1.7612741
dvgo_trex_voxels_64,0.091290236,0.010693525,2.4517,0.13833994,0.1034095
instantNGP_chair_HM_16,4.586034,21.069765,8.6438,0.027421255,4.5901814
instantNGP_chair_gRes_8,2.6282897,6.9397497,6.439999999999999,0.04452361,2.6343405
instantNGP_hotdog_HM_16,4.496129,20.22868,8.589799999999999,0.024925621,4.4976306
instantNGP_hotdog_gRes_8,2.9934647,8.985105,6.849999999999999,0.041407987,2.9975164
instantNGP_materials_HM_16,2.8243933,7.997159,6.472300000000001,0.05590892,2.827925
instantNGP_materials_gRes_8,1.6597149,2.7885919,5.149999999999999,0.06686459,1.6699077
instantNGP_mic_HM_16,3.2597427,10.633803,7.400000000000001,0.021687599,3.2609513
instantNGP_mic_gRes_8,2.0981276,4.467097,5.843800000000001,0.049113616,2.1135507
plenoxel_chair_SH_dim_1,3.572939,12.8641615,7.245800000000002,0.05417444,3.5866644
plenoxel_chair_default,3.9224536,15.431831,8.0612,0.021792606,3.9283369
plenoxel_fortress_SH_1,2.466853,6.111332,5.8813,0.0721358,2.4721107
plenoxel_fortress_default,3.435772,11.818985,7.4875,0.027840892,3.437875
plenoxel_horns_SH_1,3.5186646,12.468727,7.4187,0.038384452,3.5311084
plenoxel_horns_default,3.8419044,14.8061075,7.9286,0.025410458,3.8478706
plenoxel_hotdog_SH_dim_1,3.2914655,10.985002,6.906999999999998,0.058158975,3.314363
plenoxel_hotdog_default,4.233747,18.039318,8.2094,0.03312858,4.247272
plenoxel_materials_SH_dim_1,1.355738,1.9272945,4.1036,0.11846748,1.3882704
plenoxel_materials_default,2.3928113,5.8192077,6.1628,0.047423515,2.4123034
plenoxel_mic_SH_dim_1,1.4744678,2.228085,4.862499999999999,0.073971756,1.4926771
plenoxel_mic_default,2.7388818,7.556946,6.7438,0.03109449,2.74899
plenoxel_room_SH_1,1.0106505,1.1923295,4.2,0.08778145,1.0919384
plenoxel_room_default,1.845295,3.505664,5.5125,0.054567587,1.8723419
plenoxel_trex_SH_1,2.6621497,7.114376,6.441900000000002,0.046745036,2.6672788
plenoxel_trex_default,2.8277786,8.018487,6.814,0.032394025,2.8316934
tensorf_chair_CP_SH_32,2.0071626,4.1663384,5.162500000000001,0.090145476,2.041161
tensorf_chair_VM,5.2330666,27.38991,9.4122,0.018985452,5.233537
tensorf_fortress_VM_MLP,4.0779667,16.633263,8.131299999999998,0.027729332,4.0783896
tensorf_fortress_VM_SH_16,3.8284492,14.66598,7.748,0.037028033,3.829619
tensorf_horns_VM_MLP,5.051239,25.534222,9.1861,0.022062704,5.0531397
tensorf_horns_VM_SH_16,4.406751,19.455662,8.4147,0.030883864,4.410857
tensorf_hotdog_CP_SH_32,1.2587913,1.7177042,3.953499999999999,0.12216196,1.3106121
tensorf_hotdog_VM,4.7517877,22.636675,8.813999999999998,0.027112193,4.7578015
tensorf_materials_CP_SH_32,1.4800749,2.237611,4.281300000000001,0.11475842,1.4958646
tensorf_materials_VM,2.6332583,6.96734,6.4187,0.046349417,2.639572
tensorf_mic_CP_SH_32,1.8620266,3.575686,5.162500000000001,0.08005765,1.8909484
tensorf_mic_VM,3.8705866,15.008976,7.931299999999998,0.027216377,3.874142
tensorf_room_VM_MLP,2.3816957,5.802316,6.1162,0.049889904,2.4087996
tensorf_room_VM_SH_16,1.6131171,2.7610378,5.154899999999999,0.06328518,1.6616371
tensorf_trex_VM_MLP,5.2169027,27.23155,9.186099999999998,0.03357729,5.2183857
tensorf_trex_VM_SH_16,3.0349686,9.241447,6.6905,0.055379,3.039975
